staff_id,hospital_id,first_name,last_name,role,salary_grade,employment_date,shift,source_file
1,1,Patrick,Frost,ICT Officer,JG-A,2025-08-07,Rotating,staff.csv
2,1,Sandra,Morley,Laboratory Technologist,JG-A,2008-03-22,Rotating,staff.csv
3,1,Graham,Bibi,Radiographer,JG-A,2014-12-11,Rotating,staff.csv
4,1,Gerald,Newman,Nutritionist,JG-E,2024-05-20,Day,staff.csv
5,1,Wayne,Walker,Pharmacist,JG-G,2014-07-23,Day,staff.csv
6,1,Diana,Austin,Receptionist,JG-G,2018-03-01,Rotating,staff.csv
7,1,Christian,Nolan,Administrator,JG-C,2017-05-28,Night,staff.csv
8,1,Lynda,Williams,Laboratory Technologist,JG-G,2015-09-16,Rotating,staff.csv
9,1,Gerald,Thompson,Radiographer,JG-G,2007-04-05,Night,staff.csv
10,1,Kelly,Hill,Security Officer,JG-C,2022-11-09,Night,staff.csv
11,1,Leonard,Manning,Cleaner,JG-E,2011-09-03,Day,staff.csv
12,1,Jill,Moss,Security Officer,JG-C,2016-09-09,Rotating,staff.csv
13,1,Joe,Faulkner,Nutritionist,JG-C,2023-05-04,Rotating,staff.csv
14,1,Richard,Simpson,Pharmacist,JG-C,2022-07-26,Day,staff.csv
15,1,Joan,Davies,Security Officer,JG-D,2007-03-25,Night,staff.csv
16,1,Olivia,Griffiths,Driver,JG-B,2020-04-07,Day,staff.csv
17,1,Samuel,Farrell,Medical Records Officer,JG-E,2008-09-09,Night,staff.csv
18,1,Arthur,Allen,Security Officer,JG-A,2021-04-22,Night,staff.csv
19,1,Terence,Lowe,Cleaner,JG-A,2019-05-08,Day,staff.csv
20,1,Amanda,Jones,Cleaner,JG-D,2014-03-21,Day,staff.csv
21,1,Joan,Robinson,Driver,JG-F,2013-01-26,Night,staff.csv
22,1,Brenda,Clarke,Driver,JG-C,2025-04-09,Rotating,staff.csv
23,1,Sally,Taylor,Security Officer,JG-B,2012-04-17,Rotating,staff.csv
24,1,Martyn,Roberts,Security Officer,JG-G,2022-05-27,Night,staff.csv
25,1,Julian,Palmer,Medical Records Officer,JG-C,2023-04-30,Day,staff.csv
26,1,Christian,West,Cleaner,JG-A,2009-02-19,Night,staff.csv
27,1,Harriet,Noble,Medical Records Officer,JG-E,2014-04-04,Day,staff.csv
28,1,Paige,Rogers,Medical Records Officer,JG-C,2013-07-09,Rotating,staff.csv
29,1,Dean,Buckley,Administrator,JG-E,2010-03-28,Day,staff.csv
30,1,Joshua,Bradshaw,Laboratory Technologist,JG-D,2010-09-15,Night,staff.csv
31,1,Derek,Robinson,Medical Records Officer,JG-B,2009-02-28,Day,staff.csv
32,1,Claire,Smith,Nutritionist,JG-B,2024-04-05,Day,staff.csv
33,1,Marie,Hunter,Radiographer,JG-E,2015-02-17,Rotating,staff.csv
34,1,Sian,Ward,Radiographer,JG-A,2019-07-02,Rotating,staff.csv
35,1,Karen,Rogers,Radiographer,JG-B,2020-08-27,Day,staff.csv
36,1,Timothy,Jarvis,ICT Officer,JG-G,2024-04-28,Night,staff.csv
37,1,Alexandra,Howe,Security Officer,JG-E,2023-09-06,Night,staff.csv
38,1,George,Fletcher,Medical Records Officer,JG-G,2007-03-28,Rotating,staff.csv
39,1,Abbie,Bell,Cleaner,JG-D,2008-03-24,Night,staff.csv
40,1,Richard,Moran,Cleaner,JG-A,2009-09-25,Day,staff.csv
41,1,Chloe,O'Neill,Driver,JG-F,2019-03-15,Rotating,staff.csv
42,1,Anthony,Ali,Security Officer,JG-E,2011-08-04,Rotating,staff.csv
43,1,Jordan,O'Brien,Medical Records Officer,JG-A,2021-04-27,Day,staff.csv
44,1,Gerald,Hurst,Cleaner,JG-F,2023-07-07,Rotating,staff.csv
45,1,Terry,Bibi,Pharmacist,JG-D,2008-01-28,Rotating,staff.csv
46,1,Marion,Brown,Medical Records Officer,JG-A,2025-04-26,Rotating,staff.csv
